AUD	0.0331668166627686	0.935808219217663	14.4623
CAD	1.298e-02		9.822e-01		20.3724
CNY	0.0352910380169589	0.959544847625497	4.64135
CZK	0.0660322683227163	0.875810757806178	8.0779
DKK	0.0691170488729295	0.882028292588513	6.94802
EUR	0.0683820340111221	0.884305830882254	6.94017
GBP	0.06937408422955	0.892079563811916	6.22312
HKD	0.160577019635785	0.806894353733356	2.20928
HUF	0.0400195708014773	0.948802529707423	6.496
JPY	0.059215342815732	0.932967325381167	3.07775
KRW	0.0601863500826271	0.901444403436359	7.40043
MAD	0.0397872100784714	0.950954298613659	5.71605
MXN	0.0420427187118577	0.95507410421801	2.62068
NOK	0.0325357540365899	0.957967781034638	7.75562
NZD	0.0198646174166786	0.973703943293664	12.7273
SGD	0.148882269446251	0.766153730614272	3.72193
USD	0.0389376348770155	0.953751861652466	5.1058
