"","Clr","Dedr","Age","Brt","Value"
"1263",431751,135000,3.26,9.68,15.32
"1265",464154,1e+05,3,10.27,16.3
"1266",171250,70000,2.08,10.58,17.07
"1267",171250,70000,2.08,10.58,17.07
"1278",770000,1e+05,3.33,10.03,14.91
"1280",98313,50000,3.18,10.05,15.79
"1281",200011,99999,3.18,10.49,15.46
"1286",379850,175000,3.09,10.72,16.48
"1297",2114893,125000,1.79,10.63,17.03
"1300",277544,50000,3.09,8.97,16.77
"1301",81972,50000,3.09,8.97,16.77
"1313",225000,75000,3.47,10.05,16.01
"1316",147991,85000,3.43,9.53,15.32
"1319",171578,1e+05,2.3,10.51,16.87
"1324",1472230,50000,2.3,9.68,16.17
"1325",155650,1e+05,2.71,10,15.68
"1337",340318,250000,2.4,10.49,17.5
"1338",325891,250000,3.09,10.22,17.32
"1339",419736,250000,3.09,10.22,17.32
"1340",1e+06,1e+05,3.26,8.26,15.61
"1345",651036,150000,2.4,11.3,16.99
"1346",239454,150000,3,10.35,16.38
"1353",373875,1e+05,3.14,10.52,17.12
"1363",361066,150000,2.64,10.53,16.91
"1365",182358,75000,2.56,10.56,16.4
"1366",525000,75000,2.48,10.18,16.45
"1369",162378,1e+05,3.04,10.27,16.12
"1370",151965,1e+05,2.56,10.56,16.57
"1372",358534,75000,2.3,9.73,15.98
"1373",250911,150000,2.89,10.35,16.38
"1376",1701509,3e+05,2.3,11.95,17.73
"1383",190438,1e+05,2.71,11.4,17.05
"1384",125000,50000,2.71,11.4,17.05
"1389",842792,90000,3.26,10.68,15.89
"1390",225000,125000,3.14,11.42,15.76
"1412",423169,150000,2.48,10.19,15.91
"1441",600862,250000,3.14,10.12,15.76
"1449",325000,1e+05,3.4,9.9,15.61
"1450",1223170,150000,2.94,10.51,16.23
"1452",2775793,85000,3.14,9.98,15.94
"1454",125000,75000,1.61,9.74,16.43
"1458",170000,1e+05,3.26,10.72,15.72
"1459",190658,1e+05,3.26,10.73,15.72
"1460",231978,150000,3.04,10.06,16.45
"1461",250000,150000,2.3,10.54,17.03
"1464",403050,250000,2.56,10.44,16.99
"1476",225000,175000,2.71,11.42,16.34
"1483",654000,150000,3.09,10.05,16.3
"1505",372578,125000,2.4,11.35,17.18
"1506",604257,1e+05,2.56,11.31,16.92
"1507",1050000,1e+05,2.48,9.8,16.12
"1511",418661,50000,2.4,10.57,16.64
"1524",740000,90000,2.56,10.18,16.59
"1525",135620,1e+05,2.71,10.74,16.76
"1533",344962,150000,3.33,11.4,17.32
"1545",460581,175000,3.14,10.71,15.84
"1546",254018,175000,3.14,10.72,15.84
"1548",5e+05,150000,2.48,11.36,17.25
"1553",480969,1e+05,2.77,10.63,16.62
"1556",211519,92500,1.79,10.31,16.81
"1567",98947,50000,3.14,8.97,16.77
"1568",95253,50000,3.14,8.97,16.77
"1569",215000,50000,3.14,8.97,16.77
"1570",126282,75000,3.14,9.87,16.12
"1576",794584,175000,2.64,11.3,17.15
"1577",1841175,150000,2.94,10.51,16.3
"1578",308198,175000,2.2,11.38,17.46
"1582",2079439,75000,2.2,10.24,17.03
"1584",650000,1e+05,3.09,10.16,16.1
"1586",265000,1e+05,3.18,9.74,14.96
"1606",750000,5e+05,3.09,12.08,17.03
"1618",7e+05,1e+05,3.47,9.87,17.22
"1620",195701,135000,3.18,10.12,16.17
"1621",955000,75000,2.83,9.72,16.17
"1623",316417,250000,3.09,10.27,17.32
"1624",157390,75000,2.48,9.75,15.91
"1630",209750,120000,3.26,10.47,15.61
"1632",350000,3e+05,2.94,10.35,16.52
"1641",3e+05,2e+05,3.18,11.36,16.12
"1644",150414,1e+05,3.18,9.74,15.89
"1645",174444,1e+05,3.18,9.74,15.96
"1650",3e+05,175000,3.26,11.17,15.69
"1651",250000,175000,3.26,11.17,16.08
"1681",418159,250000,3.18,10.12,15.76
"1682",286651,125000,2.94,10.51,16.3
"1685",1275000,75000,1.79,9.74,16.8
"1687",150000,75000,2.56,9.76,16.27
"1690",510000,250000,3.53,9.89,15.42
